year,id_pais,edvan
1976,ARG,67.2275
1977,ARG,67.8613
1978,ARG,68.1973
1979,ARG,68.4914
1980,ARG,68.5642
1981,ARG,68.9762
1982,ARG,68.9368
1983,ARG,69.2668
1984,ARG,69.1953
1985,ARG,69.6511
1986,ARG,70.1189
1987,ARG,70.5643
1988,ARG,71.0523
1989,ARG,71.4247
1990,ARG,71.7837
1991,ARG,72.319
1992,ARG,72.4295
1993,ARG,72.5646
1994,ARG,73.1725
1995,ARG,73.1333
1996,ARG,73.3066
1997,ARG,73.0899
1998,ARG,73.4737
1999,ARG,73.7219
2000,ARG,73.926
2001,ARG,74.1864
2002,ARG,74.408
2003,ARG,74.0801
2004,ARG,74.8549
2005,ARG,75.1388
2006,ARG,75.4326
2007,ARG,75.0057
2008,ARG,75.6411
2009,ARG,75.9359
2010,ARG,75.7208
2011,ARG,76.124
2012,ARG,76.4669
2013,ARG,76.4908
2014,ARG,76.7549
2015,ARG,76.7602
2016,ARG,76.3077
2017,ARG,76.833
2018,ARG,76.9994
2019,ARG,77.2845
2020,ARG,75.8921
2021,ARG,75.3899
2022,ARG,76.0636
1950,BHS,60.0029
1951,BHS,60.3931
1952,BHS,60.776
1953,BHS,61.1012
1954,BHS,61.3705
1955,BHS,61.5814
1956,BHS,61.8379
1957,BHS,62.0704
1958,BHS,62.3428
1959,BHS,62.599
1960,BHS,62.8956
1961,BHS,63.1855
1962,BHS,63.4327
1963,BHS,63.7319
1964,BHS,64.0497
1965,BHS,64.3625
1966,BHS,64.6593
1967,BHS,64.9485
1968,BHS,65.3281
1969,BHS,65.6463
1970,BHS,65.9258
1971,BHS,66.1507
1972,BHS,66.4133
1973,BHS,66.4876
1974,BHS,67.0012
1975,BHS,67.2214
1976,BHS,67.8401
1977,BHS,67.8799
1978,BHS,67.5621
1979,BHS,67.3658
1980,BHS,67.5211
1981,BHS,67.7459
1982,BHS,68.4363
1983,BHS,69.1611
1984,BHS,69.3512
1985,BHS,69.2569
1986,BHS,69.2853
1987,BHS,68.9239
1988,BHS,69.2154
1989,BHS,69.5977
1990,BHS,70.1331
1991,BHS,69.6157
1992,BHS,70.6679
1993,BHS,70.6559
1994,BHS,70.8507
1995,BHS,70.7628
1996,BHS,70.7101
1997,BHS,71.0541
1998,BHS,71.4558
1999,BHS,71.7709
2000,BHS,72.0411
2001,BHS,72.1101
2002,BHS,72.2316
2003,BHS,72.402
2004,BHS,72.478
2005,BHS,72.7654
2006,BHS,72.855
2007,BHS,72.6785
2008,BHS,72.6671
2009,BHS,72.5794
2010,BHS,72.7314
2011,BHS,72.5638
2012,BHS,72.7528
2013,BHS,73.0237
2014,BHS,73.3658
2015,BHS,73.104
2016,BHS,73.5368
2017,BHS,73.6317
2018,BHS,73.8057
2019,BHS,71.205
2020,BHS,72.6766
2021,BHS,71.5983
2022,BHS,74.3579
1950,BRB,55.2382
1951,BRB,55.4023
1952,BRB,55.8801
1953,BRB,56.6995
1954,BRB,57.8667
1955,BRB,58.9671
1956,BRB,61.0503
1957,BRB,61.9564
1958,BRB,63.0167
1959,BRB,63.9234
1960,BRB,64.5635
1961,BRB,65.3178
1962,BRB,65.8967
1963,BRB,66.4866
1964,BRB,67.0199
1965,BRB,67.3763
1966,BRB,67.8051
1967,BRB,67.9435
1968,BRB,68.1139
1969,BRB,68.44
1970,BRB,68.2725
1971,BRB,68.5981
1972,BRB,68.9291
1973,BRB,69.1667
1974,BRB,69.5195
1975,BRB,69.921
1976,BRB,70.2078
1977,BRB,70.7185
1978,BRB,71.1221
1979,BRB,71.5264
1980,BRB,71.9215
1981,BRB,72.1197
1982,BRB,72.2973
1983,BRB,72.5373
1984,BRB,72.5955
1985,BRB,72.4952
1986,BRB,72.5682
1987,BRB,72.6749
1988,BRB,72.6523
1989,BRB,72.7404
1990,BRB,72.7516
1991,BRB,72.843
1992,BRB,72.9152
1993,BRB,73.1904
1994,BRB,73.2113
1995,BRB,73.2983
1996,BRB,73.5458
1997,BRB,73.5475
1998,BRB,73.7278
1999,BRB,74.0387
2000,BRB,74.0891
2001,BRB,74.2467
2002,BRB,74.3656
2003,BRB,74.4717
2004,BRB,74.7268
2005,BRB,74.8901
2006,BRB,75.0683
2007,BRB,75.3424
2008,BRB,75.4471
2009,BRB,75.678
2010,BRB,75.7115
2011,BRB,75.9166
2012,BRB,76.0987
2013,BRB,76.2752
2014,BRB,76.4758
2015,BRB,76.6502
2016,BRB,76.8149
2017,BRB,76.936
2018,BRB,77.067
2019,BRB,77.2569
2020,BRB,77.3929
2021,BRB,77.5714
2022,BRB,77.7062
1950,BOL,40.6261
1951,BOL,40.746
1952,BOL,40.7667
1953,BOL,41.2292
1954,BOL,41.4469
1955,BOL,41.7494
1956,BOL,42.0397
1957,BOL,42.2839
1958,BOL,42.5771
1959,BOL,42.8719
1960,BOL,43.0998
1961,BOL,43.3997
1962,BOL,43.7913
1963,BOL,44.0769
1964,BOL,44.3664
1965,BOL,44.7119
1966,BOL,45.1183
1967,BOL,45.4193
1968,BOL,45.7959
1969,BOL,46.2145
1970,BOL,46.5974
1971,BOL,47.0612
1972,BOL,47.4967
1973,BOL,47.975
1974,BOL,48.446
1975,BOL,48.8261
1976,BOL,49.2644
1977,BOL,49.7344
1978,BOL,50.1814
1979,BOL,50.6652
1980,BOL,51.1809
1981,BOL,51.6191
1982,BOL,52.0532
1983,BOL,52.4053
1984,BOL,52.9713
1985,BOL,53.4455
1986,BOL,53.9292
1987,BOL,54.4922
1988,BOL,55.1558
1989,BOL,55.7719
1990,BOL,56.4221
1991,BOL,57.0973
1992,BOL,57.6287
1993,BOL,58.4179
1994,BOL,58.9886
1995,BOL,59.5337
1996,BOL,60.0837
1997,BOL,60.7521
1998,BOL,61.3317
1999,BOL,61.8711
2000,BOL,62.3461
2001,BOL,62.8426
2002,BOL,63.3064
2003,BOL,63.6348
2004,BOL,64.0041
2005,BOL,64.3856
2006,BOL,64.7793
2007,BOL,65.0267
2008,BOL,65.4459
2009,BOL,65.8803
2010,BOL,66.1624
2011,BOL,66.5337
2012,BOL,66.7046
2013,BOL,67.0207
2014,BOL,67.1632
2015,BOL,67.3182
2016,BOL,67.6277
2017,BOL,67.7015
2018,BOL,67.748
2019,BOL,67.841
2020,BOL,64.4667
2021,BOL,63.6304
2022,BOL,64.9284
1950,BRA,48.1155
1951,BRA,48.4262
1952,BRA,48.8731
1953,BRA,49.2014
1954,BRA,49.7462
1955,BRA,50.2219
1956,BRA,50.7065
1957,BRA,51.1743
1958,BRA,51.6436
1959,BRA,52.1854
1960,BRA,52.6602
1961,BRA,53.1828
1962,BRA,53.7096
1963,BRA,54.2088
1964,BRA,54.6479
1965,BRA,55.0844
1966,BRA,55.4733
1967,BRA,55.8684
1968,BRA,56.3105
1969,BRA,56.7483
1970,BRA,57.1714
1971,BRA,57.5858
1972,BRA,58.0321
1973,BRA,58.4718
1974,BRA,58.8807
1975,BRA,59.353
1976,BRA,59.7918
1977,BRA,60.2403
1978,BRA,60.7203
1979,BRA,61.2533
1980,BRA,61.781
1981,BRA,62.333
1982,BRA,62.8563
1983,BRA,63.3306
1984,BRA,63.7726
1985,BRA,64.1979
1986,BRA,64.6404
1987,BRA,65.0797
1988,BRA,65.454
1989,BRA,65.8676
1990,BRA,65.9848
1991,BRA,66.3096
1992,BRA,66.7082
1993,BRA,67.1092
1994,BRA,67.5684
1995,BRA,67.9191
1996,BRA,68.409
1997,BRA,68.8128
1998,BRA,69.1885
1999,BRA,69.5237
2000,BRA,69.7367
2001,BRA,70.1949
2002,BRA,70.4103
2003,BRA,70.7204
2004,BRA,71.1307
2005,BRA,71.7533
2006,BRA,72.0373
2007,BRA,72.3653
2008,BRA,72.7153
2009,BRA,72.9484
2010,BRA,73.1821
2011,BRA,73.3432
2012,BRA,73.5517
2013,BRA,73.9185
2014,BRA,74.3058
2015,BRA,74.3325
2016,BRA,74.4415
2017,BRA,74.8266
2018,BRA,75.1095
2019,BRA,75.3379
2020,BRA,74.0089
2021,BRA,72.7504
2022,BRA,73.4248
1950,BLZ,50.4255
1951,BLZ,50.7988
1952,BLZ,51.2897
1953,BLZ,51.9375
1954,BLZ,52.9827
1955,BLZ,53.3746
1956,BLZ,54.217
1957,BLZ,55.2008
1958,BLZ,56.3008
1959,BLZ,57.2731
1960,BLZ,58.1635
1961,BLZ,53.3557
1962,BLZ,58.9996
1963,BLZ,59.5694
1964,BLZ,60.0568
1965,BLZ,60.6286
1966,BLZ,60.9634
1967,BLZ,61.5004
1968,BLZ,62.1917
1969,BLZ,62.7704
1970,BLZ,63.4679
1971,BLZ,64.2044
1972,BLZ,64.4527
1973,BLZ,64.6224
1974,BLZ,65.0298
1975,BLZ,65.9421
1976,BLZ,66.2684
1977,BLZ,66.5179
1978,BLZ,66.8848
1979,BLZ,67.399
1980,BLZ,67.756
1981,BLZ,68.0681
1982,BLZ,67.9547
1983,BLZ,68.1398
1984,BLZ,68.6397
1985,BLZ,69.4619
1986,BLZ,69.7037
1987,BLZ,70.1985
1988,BLZ,70.7813
1989,BLZ,70.7244
1990,BLZ,70.7437
1991,BLZ,70.2484
1992,BLZ,69.9793
1993,BLZ,69.9882
1994,BLZ,70.3164
1995,BLZ,69.8874
1996,BLZ,69.8058
1997,BLZ,69.2118
1998,BLZ,68.5988
1999,BLZ,68.7734
2000,BLZ,68.5645
2001,BLZ,68.3572
2002,BLZ,68.7521
2003,BLZ,68.9091
2004,BLZ,69.227
2005,BLZ,69.3757
2006,BLZ,70.0932
2007,BLZ,70.6549
2008,BLZ,71.1507
2009,BLZ,71.8186
2010,BLZ,72.2716
2011,BLZ,72.6512
2012,BLZ,73.245
2013,BLZ,73.6661
2014,BLZ,73.3107
2015,BLZ,73.1866
2016,BLZ,73.3988
2017,BLZ,73.5624
2018,BLZ,73.7031
2019,BLZ,73.9313
2020,BLZ,72.854
2021,BLZ,70.4697
2022,BLZ,70.9624
1950,CAN,68.2145
1951,CAN,68.5077
1952,CAN,68.6821
1953,CAN,69.0679
1954,CAN,69.9392
1955,CAN,69.9992
1956,CAN,69.9717
1957,CAN,69.9176
1958,CAN,70.575
1959,CAN,70.6153
1960,CAN,70.9758
1961,CAN,71.2185
1962,CAN,71.24
1963,CAN,71.2699
1964,CAN,71.6424
1965,CAN,71.7518
1966,CAN,71.8708
1967,CAN,72.0842
1968,CAN,72.2406
1969,CAN,72.3985
1970,CAN,72.6118
1971,CAN,72.9514
1972,CAN,72.828
1973,CAN,73.0715
1974,CAN,73.1446
1975,CAN,73.451
1976,CAN,73.8726
1977,CAN,74.1557
1978,CAN,74.4848
1979,CAN,74.8395
1980,CAN,75.0637
1981,CAN,75.4839
1982,CAN,75.6939
1983,CAN,76.0673
1984,CAN,76.3556
1985,CAN,76.3472
1986,CAN,76.4892
1987,CAN,76.7956
1988,CAN,76.8595
1989,CAN,77.1216
1990,CAN,77.4308
1991,CAN,77.5917
1992,CAN,77.8501
1993,CAN,77.7229
1994,CAN,77.8991
1995,CAN,78.0194
1996,CAN,78.271
1997,CAN,78.4642
1998,CAN,78.6739
1999,CAN,78.8851
2000,CAN,79.2335
2001,CAN,79.4507
2002,CAN,79.568
2003,CAN,79.7396
2004,CAN,80.0332
2005,CAN,80.1364
2006,CAN,80.5466
2007,CAN,80.5495
2008,CAN,80.7388
2009,CAN,81.0737
2010,CAN,81.3469
2011,CAN,81.5286
2012,CAN,81.7221
2013,CAN,81.8029
2014,CAN,81.8545
2015,CAN,81.9246
2016,CAN,82.0434
2017,CAN,82.0192
2018,CAN,82.0508
2019,CAN,82.3628
2020,CAN,82.0471
2021,CAN,82.6565
2022,CAN,82.8471
1950,CHL,53.1764
1951,CHL,53.457
1952,CHL,53.9035
1953,CHL,54.3257
1954,CHL,54.8288
1955,CHL,54.7317
1956,CHL,55.6476
1957,CHL,55.3177
1958,CHL,56.6936
1959,CHL,56.0064
1960,CHL,57.0147
1961,CHL,57.5367
1962,CHL,57.7708
1963,CHL,57.1503
1964,CHL,58.7378
1965,CHL,59.455
1966,CHL,59.6888
1967,CHL,60.7203
1968,CHL,61.6296
1969,CHL,61.9053
1970,CHL,62.4906
1971,CHL,62.7319
1972,CHL,62.2807
1973,CHL,63.9046
1974,CHL,64.9012
1975,CHL,66.2792
1976,CHL,65.8548
1977,CHL,67.4023
1978,CHL,68.0743
1979,CHL,68.1864
1980,CHL,68.8398
1981,CHL,69.9092
1982,CHL,70.2995
1983,CHL,70.0114
1984,CHL,70.4604
1985,CHL,71.1762
1986,CHL,71.8096
1987,CHL,72.5396
1988,CHL,72.4556
1989,CHL,72.4669
1990,CHL,72.574
1991,CHL,73.5741
1992,CHL,74.1354
1993,CHL,74.1953
1994,CHL,74.6139
1995,CHL,74.6085
1996,CHL,74.8988
1997,CHL,75.5958
1998,CHL,75.6695
1999,CHL,76.0176
2000,CHL,76.8695
2001,CHL,76.7726
2002,CHL,77.4445
2003,CHL,77.3867
2004,CHL,77.6161
2005,CHL,78.0159
2006,CHL,78.261
2007,CHL,77.8258
2008,CHL,78.4841
2009,CHL,78.7409
2010,CHL,78.5015
2011,CHL,79.1099
2012,CHL,79.0233
2013,CHL,79.3391
2014,CHL,79.4726
2015,CHL,79.746
2016,CHL,80.0794
2017,CHL,80.3501
2018,CHL,80.1334
2019,CHL,80.3263
2020,CHL,79.3769
2021,CHL,78.9435
2022,CHL,79.5188
1950,COL,48.219
1951,COL,49.1541
1952,COL,50.2082
1953,COL,51.2129
1954,COL,52.0893
1955,COL,52.8616
1956,COL,53.4892
1957,COL,54.9641
1958,COL,55.436
1959,COL,56.4451
1960,COL,57.1305
1961,COL,57.73
1962,COL,58.301
1963,COL,58.8922
1964,COL,59.3753
1965,COL,59.8149
1966,COL,60.2041
1967,COL,60.5311
1968,COL,60.8708
1969,COL,61.2163
1970,COL,61.5694
1971,COL,62.0514
1972,COL,62.5686
1973,COL,63.0604
1974,COL,63.6401
1975,COL,64.2702
1976,COL,64.845
1977,COL,65.424
1978,COL,65.9544
1979,COL,66.3797
1980,COL,66.8676
1981,COL,67.1972
1982,COL,67.5308
1983,COL,67.745
1984,COL,67.9793
1985,COL,66.2765
1986,COL,68.2597
1987,COL,68.2676
1988,COL,68.3908
1989,COL,68.5326
1990,COL,68.644
1991,COL,68.8127
1992,COL,69.0381
1993,COL,69.3418
1994,COL,69.6132
1995,COL,69.9325
1996,COL,70.1885
1997,COL,70.4919
1998,COL,70.7378
1999,COL,70.9257
2000,COL,71.3201
2001,COL,71.502
2002,COL,71.9389
2003,COL,72.3606
2004,COL,72.6951
2005,COL,73.0814
2006,COL,73.468
2007,COL,73.8372
2008,COL,74.295
2009,COL,74.7418
2010,COL,75.0327
2011,COL,75.3198
2012,COL,75.5973
2013,COL,75.8267
2014,COL,76.0427
2015,COL,76.2573
2016,COL,76.4713
2017,COL,76.6456
2018,COL,76.7479
2019,COL,76.7523
2020,COL,74.7692
2021,COL,72.8296
2022,COL,73.6595
1950,CRI,53.7513
1951,CRI,54.4211
1952,CRI,55.3713
1953,CRI,56.0725
1954,CRI,57.2499
1955,CRI,57.64
1956,CRI,58.135
1957,CRI,58.6161
1958,CRI,59.1882
1959,CRI,59.4737
1960,CRI,60.4154
1961,CRI,60.9015
1962,CRI,61.1112
1963,CRI,61.6245
1964,CRI,62.0827
1965,CRI,62.6625
1966,CRI,63.3665
1967,CRI,63.9208
1968,CRI,64.428
1969,CRI,65.0155
1970,CRI,65.3613
1971,CRI,66.301
1972,CRI,66.7156
1973,CRI,67.9526
1974,CRI,68.454
1975,CRI,69.3999
1976,CRI,70.294
1977,CRI,71.2882
1978,CRI,72.239
1979,CRI,72.4234
1980,CRI,72.8993
1981,CRI,73.7987
1982,CRI,74.6538
1983,CRI,75.0788
1984,CRI,75.0908
1985,CRI,75.1109
1986,CRI,75.5051
1987,CRI,75.7409
1988,CRI,76.1055
1989,CRI,76.2626
1990,CRI,76.6301
1991,CRI,76.5905
1992,CRI,76.6269
1993,CRI,76.7029
1994,CRI,76.67
1995,CRI,76.5519
1996,CRI,76.8042
1997,CRI,77.0703
1998,CRI,76.8963
1999,CRI,77.1375
2000,CRI,77.5857
2001,CRI,77.5453
2002,CRI,77.9833
2003,CRI,78.072
2004,CRI,78.3305
2005,CRI,78.5053
2006,CRI,78.5145
2007,CRI,78.4621
2008,CRI,78.4451
2009,CRI,78.6721
2010,CRI,78.6704
2011,CRI,79.3477
2012,CRI,79.2827
2013,CRI,79.4034
2014,CRI,78.7741
2015,CRI,79.0857
2016,CRI,79.4592
2017,CRI,79.3769
2018,CRI,79.4835
2019,CRI,79.4272
2020,CRI,79.277
2021,CRI,77.0232
2022,CRI,77.3202
1950,CUB,60.1082
1951,CUB,60.2436
1952,CUB,60.6389
1953,CUB,61.0995
1954,CUB,61.6061
1955,CUB,62.0809
1956,CUB,62.4202
1957,CUB,62.841
1958,CUB,63.2494
1959,CUB,63.7239
1960,CUB,64.1729
1961,CUB,64.5118
1962,CUB,65.0381
1963,CUB,64.9403
1964,CUB,65.9046
1965,CUB,66.3184
1966,CUB,66.7153
1967,CUB,67.11
1968,CUB,67.5113
1969,CUB,67.936
1970,CUB,68.3978
1971,CUB,68.9178
1972,CUB,69.4619
1973,CUB,70.0204
1974,CUB,70.5696
1975,CUB,71.0788
1976,CUB,71.5244
1977,CUB,71.8955
1978,CUB,72.2008
1979,CUB,72.4465
1980,CUB,72.752
1981,CUB,72.9393
1982,CUB,73.1297
1983,CUB,73.3091
1984,CUB,73.4675
1985,CUB,73.6054
1986,CUB,73.7249
1987,CUB,73.825
1988,CUB,73.913
1989,CUB,73.9815
1990,CUB,74.0389
1991,CUB,74.093
1992,CUB,74.1615
1993,CUB,74.2608
1994,CUB,74.4106
1995,CUB,74.6231
1996,CUB,74.9026
1997,CUB,75.2223
1998,CUB,75.5639
1999,CUB,75.8926
2000,CUB,76.1831
2001,CUB,76.4208
2002,CUB,76.6124
2003,CUB,76.7729
2004,CUB,76.9116
2005,CUB,77.0469
2006,CUB,77.1788
2007,CUB,77.3072
2008,CUB,77.4294
2009,CUB,77.5483
2010,CUB,77.661
2011,CUB,77.7597
2012,CUB,77.8328
2013,CUB,77.8698
2014,CUB,77.8533
2015,CUB,77.772
2016,CUB,77.643
2017,CUB,77.5286
2018,CUB,77.4962
2019,CUB,77.6112
2020,CUB,77.5673
2021,CUB,73.6829
2022,CUB,78.155
1950,DMA,46.1962
1951,DMA,47.5505
1952,DMA,45.2535
1953,DMA,49.4929
1954,DMA,51.0388
1955,DMA,49.8979
1956,DMA,50.5513
1957,DMA,54.006
1958,DMA,54.2741
1959,DMA,57.1361
1960,DMA,59.0255
1961,DMA,59.9489
1962,DMA,61.7414
1963,DMA,58.6881
1964,DMA,64.4926
1965,DMA,64.5866
1966,DMA,63.4901
1967,DMA,65.005
1968,DMA,64.4161
1969,DMA,63.6979
1970,DMA,65.4677
1971,DMA,64.3351
1972,DMA,67.1103
1973,DMA,68.0488
1974,DMA,68.7846
1975,DMA,69.1712
1976,DMA,68.9848
1977,DMA,68.7586
1978,DMA,70.4407
1979,DMA,70.9696
1980,DMA,71.7819
1981,DMA,73.2318
1982,DMA,72.9932
1983,DMA,73.5209
1984,DMA,72.0218
1985,DMA,71.2554
1986,DMA,71.3219
1987,DMA,70.8584
1988,DMA,71.3635
1989,DMA,69.5528
1990,DMA,69.852
1991,DMA,69.6458
1992,DMA,70.2817
1993,DMA,70.9373
1994,DMA,71.0757
1995,DMA,71.5203
1996,DMA,71.194
1997,DMA,71.6344
1998,DMA,71.4715
1999,DMA,70.6314
2000,DMA,72.6932
2001,DMA,71.7132
2002,DMA,72.3395
2003,DMA,71.4384
2004,DMA,72.401
2005,DMA,72.2543
2006,DMA,72.8479
2007,DMA,71.9301
2008,DMA,73.3054
2009,DMA,72.1702
2010,DMA,71.5499
2011,DMA,69.6948
2012,DMA,70.5383
2013,DMA,68.8962
2014,DMA,69.4342
2015,DMA,68.7266
2016,DMA,70.1284
2017,DMA,67.5253
2018,DMA,73.59
2019,DMA,73.5588
2020,DMA,73.649
2021,DMA,72.814
2022,DMA,72.9807
1950,DOM,44.2981
1951,DOM,44.659
1952,DOM,45.2893
1953,DOM,45.9448
1954,DOM,46.6053
1955,DOM,47.2524
1956,DOM,47.8805
1957,DOM,48.4927
1958,DOM,49.092
1959,DOM,49.6814
1960,DOM,50.2636
1961,DOM,50.84
1962,DOM,51.4111
1963,DOM,51.7987
1964,DOM,52.5424
1965,DOM,50.8639
1966,DOM,53.6662
1967,DOM,54.289
1968,DOM,54.8938
1969,DOM,55.5134
1970,DOM,56.1446
1971,DOM,56.7825
1972,DOM,57.4174
1973,DOM,58.0423
1974,DOM,58.6502
1975,DOM,59.2356
1976,DOM,59.7913
1977,DOM,60.3193
1978,DOM,60.8224
1979,DOM,60.7528
1980,DOM,61.7543
1981,DOM,62.194
1982,DOM,62.6477
1983,DOM,63.1091
1984,DOM,63.6023
1985,DOM,64.1394
1986,DOM,64.7267
1987,DOM,65.3393
1988,DOM,65.951
1989,DOM,66.5463
1990,DOM,67.1102
1991,DOM,67.6254
1992,DOM,68.0842
1993,DOM,68.4715
1994,DOM,68.7917
1995,DOM,68.9884
1996,DOM,69.0969
1997,DOM,69.1664
1998,DOM,69.0964
1999,DOM,69.2794
2000,DOM,69.4232
2001,DOM,69.6416
2002,DOM,69.923
2003,DOM,70.2649
2004,DOM,70.3305
2005,DOM,70.8752
2006,DOM,71.1654
2007,DOM,71.371
2008,DOM,71.6577
2009,DOM,71.871
2010,DOM,72.0933
2011,DOM,72.2212
2012,DOM,72.5142
2013,DOM,72.7127
2014,DOM,72.8665
2015,DOM,72.9531
2016,DOM,72.9867
2017,DOM,73.0629
2018,DOM,73.2323
2019,DOM,73.5767
2020,DOM,72.8894
2021,DOM,72.6146
2022,DOM,74.1704
1950,ECU,49.2006
1951,ECU,49.3172
1952,ECU,49.5672
1953,ECU,49.8452
1954,ECU,50.2185
1955,ECU,50.5817
1956,ECU,51.1487
1957,ECU,51.7054
1958,ECU,52.2572
1959,ECU,52.8172
1960,ECU,53.3643
1961,ECU,53.8952
1962,ECU,54.4009
1963,ECU,54.8798
1964,ECU,55.3046
1965,ECU,55.664
1966,ECU,55.9418
1967,ECU,56.2131
1968,ECU,56.4875
1969,ECU,56.6545
1970,ECU,57.1518
1971,ECU,57.6327
1972,ECU,58.2052
1973,ECU,58.8371
1974,ECU,59.5262
1975,ECU,60.2318
1976,ECU,60.8902
1977,ECU,61.5592
1978,ECU,62.153
1979,ECU,62.6957
1980,ECU,63.1912
1981,ECU,63.6619
1982,ECU,64.1096
1983,ECU,64.5276
1984,ECU,65.1712
1985,ECU,65.8113
1986,ECU,66.5352
1987,ECU,67.3001
1988,ECU,68.0559
1989,ECU,68.7492
1990,ECU,69.3477
1991,ECU,69.6253
1992,ECU,70.1172
1993,ECU,70.3451
1994,ECU,70.7571
1995,ECU,71.0408
1996,ECU,71.362
1997,ECU,71.6815
1998,ECU,72.045
1999,ECU,72.4634
2000,ECU,72.8394
2001,ECU,73.2395
2002,ECU,73.6134
2003,ECU,73.9751
2004,ECU,74.2788
2005,ECU,74.5144
2006,ECU,74.689
2007,ECU,74.8445
2008,ECU,74.983
2009,ECU,75.1841
2010,ECU,75.4301
2011,ECU,75.7425
2012,ECU,76.0616
2013,ECU,76.3694
2014,ECU,76.6221
2015,ECU,76.7893
2016,ECU,76.7634
2017,ECU,76.9725
2018,ECU,77.0938
2019,ECU,77.2971
2020,ECU,72.1535
2021,ECU,73.67
2022,ECU,77.8942
1950,SLV,42.3969
1951,SLV,42.392
1952,SLV,43.6755
1953,SLV,44.298
1954,SLV,44.865
1955,SLV,45.3659
1956,SLV,45.8283
1957,SLV,46.2944
1958,SLV,46.8021
1959,SLV,47.3887
1960,SLV,48.0843
1961,SLV,48.8492
1962,SLV,49.6003
1963,SLV,50.2527
1964,SLV,50.7339
1965,SLV,50.897
1966,SLV,50.9641
1967,SLV,50.8519
1968,SLV,50.7749
1969,SLV,50.8999
1970,SLV,51.4097
1971,SLV,52.2409
1972,SLV,53.0192
1973,SLV,54.0477
1974,SLV,54.6676
1975,SLV,54.8746
1976,SLV,54.6265
1977,SLV,54.0239
1978,SLV,53.2452
1979,SLV,52.1999
1980,SLV,47.9749
1981,SLV,48.1606
1982,SLV,51.1045
1983,SLV,52.2032
1984,SLV,54.8498
1985,SLV,57.0246
1986,SLV,57.7412
1987,SLV,59.6688
1988,SLV,61.4764
1989,SLV,59.6855
1990,SLV,62.5504
1991,SLV,63.8556
1992,SLV,64.6574
1993,SLV,65.2351
1994,SLV,65.8384
1995,SLV,66.3297
1996,SLV,67.0758
1997,SLV,67.8953
1998,SLV,68.4785
1999,SLV,69.3793
2000,SLV,69.8647
2001,SLV,69.5982
2002,SLV,70.2324
2003,SLV,70.1401
2004,SLV,70.3402
2005,SLV,70.4403
2006,SLV,70.7732
2007,SLV,71.1081
2008,SLV,71.4236
2009,SLV,71.5756
2010,SLV,71.8478
2011,SLV,71.8589
2012,SLV,71.8313
2013,SLV,71.7711
2014,SLV,71.7464
2015,SLV,71.8143
2016,SLV,72.0248
2017,SLV,72.3108
2018,SLV,72.5546
2019,SLV,72.5586
2020,SLV,71.0609
2021,SLV,70.7479
2022,SLV,71.4746
1950,GRD,52.8365
1951,GRD,53.4364
1952,GRD,54.2817
1953,GRD,54.6473
1954,GRD,55.5939
1955,GRD,56.6908
